Key,Source,Context,Changes,English,French,German,Klingon,Spanish
HyenaPetItemDesc,"","","","This beast has somehow grew fond to you... You can use dog tools with it (whistle, collar, toy and dog staff)","","","",""
blunt,"","","","Cannabis Blunt","","","",""
bluntDesc,"","","","A nice cannabis blunt!","","","",""
cugarButt,"","","","Cigar Butt","","","",""
cugarButtDesc,"","","","Well... it's a cigar butt...","","","",""
RadSyringe,"","","","Rad Mushroom Syringe","","","",""
RadSyringeDesc,"","","","This thing heals almost any disease... But dude, it's terribly addictive!","","","",""
TigerItem,"","","","Tamed Tiger","","","",""
TigerItemDesc,"","","","It almost looks cute... If it wasn't deadly! You can use dog tools with it (whistle, collar, toy and dog staff)","","","",""
TigerAlbinoItem,"","","","Albino Tiger","","","",""
TigerAlbinoItemDesc,"","","","This one is a rarity! Take good care of it! You can use dog tools with it (whistle, collar, toy and dog staff)","","","",""
ScienceStation,"","","","Science Workstation","","","",""
ScienceStationDesc,"","","","Advanced workstation to perform scientific and chemical operations","","","",""
50cal,"","","","50 cal ammo","","","",""
50calDesc,"","","","50 BMG ammo offers fantastic ballistics for long-range sniping or target shooting. You can find match ammunition for 50 BMG rounds today that can be used to accurately tag a target from more than one mile away.","","","",""
BrowningItem,"","","","M2 Machine Gun","","","",""
BrowningItemDesc,"","","","The M2 Machine Gun or Browning .50 Caliber Machine Gun uses the much larger and much more powerful .50 BMG cartridge, and it is effective against infantry, unarmored or lightly armored vehicles and boats, light fortifications and low-flying aircraft. The M2 machine gun has been produced longer than any other machine gun.","","","",""
BrowningTripodBlock,"","","","M2 Tripod","","","",""
BrowningTripodBlockDesc,"","","","The M2 Tripod is a U.S. machine gun tripod originally used with the Browning M1919 infantry machine gun. Since then, it has seen several redesigns, but remained largely the same. In this fashion, the M2 tripod has seen combat service in every conflict that the U.S. Army and Marine Corps has been involved in since World War II. It has also been widely used by numerous other nations, such as U.S. Allies in various wars, especially those countries that used the same machine guns as the United States military.","","","",""
ammoWorkbench,"","","","Ammo Workbench","","","",""
ammoWorkbenchDesc,"","","","This salvaged specialized workstation allows you to optimize bullet production","","","",""
MilitaryScrewer,"","","","Electrical Screwer","","","",""
MilitaryScrewerDesc,"","","","This long duration military screwer allows you to quickly mount equipment.","","","",""
Browning,"","","","M2 Machine Gun Turret","","","",""
BrowningDesc,"","","","You died while maning a turret. Once you equip this, it will turn back into a turret","","","",""
RadSuitKey,"","","","Key","","","",""
RadSuitKeyDesc,"","","","A key to unlock the hazmat locker","","","",""
donkeyItem,"","","","An Ass","","","",""
donkeyItemDesc,"","","","Now... That's a nice ass! Keep it fed with wheat/salad (low tier), carrots (medium tier) or apples (high tier)","","","",""
radSyringeBook,"","","","A receipt","","","",""
radSyringeBookDesc,"","","","Receipt to make radiation syringes","","","",""
OldMGItem,"","","","Machine Gun","","","",""
OldMGItemDesc,"","","","We don't know much about this gun, except it's old.... use at your own risk","","","",""
OldMGTripodBlock,"","","","Rusty MG Support","","","",""
OldMGTripodBlockDesc,"","","","This old rusty MG support may not be very stable... But it servers its purpose!","","","",""
OldMG,"","","","Old Machine Gun Turret","","","",""
OldMGDesc,"","","","You died while maning a turret. Once you equip this, it will turn back into a turret","","","",""
partsRevolver_grip,"","","","SteamPunk Grip","","","",""
partsRevolver_cylinder,"","","","SteamPunk Cylinder","","","",""
partsRevolver_parts,"","","","SteamPunk Parts","","","",""
partsRevolver_frame,"","","","SteamPunk Frame","","","",""
partsGunRevolver_grip,"","","","Small Revolver Grip","","","",""
partsGunRevolver_cylinder,"","","","Small Revolver Cylinder","","","",""
partsGunRevolver_parts,"","","","Small Revolver Parts","","","",""
partsGunRevolver_frame,"","","","Small Revolver Frame","","","",""
partsBrowning_barrel,"","","","Browning MG Barrel","","","",""
partsBrowning_stock,"","","","Browning MG Cylinder","","","",""
partsBrowning_parts,"","","","Browning MG Parts","","","",""
partsBrowning_receiver,"","","","Browning MG Receiver","","","",""
partsBrowningGroup,"","","","A part of the Browning Mounted Gun. Assemble with other parts to create a complete Browning Gun","","","",""
Mustang,"","","","Charger","","","",""
MilitaryHeadset,"","","","Headset Helmet","","","",""
MilitaryHeadsetDesc,"","","","Special Operations Headset Adaptable Helmet. Using this with a turned on walky on your belt, allows you to long distance effordless communication.","","","",""
SilencerMG,"","","","MG Silencer","","","",""
SilencerMGDesc,"","","","You can use this Silencer on mg4. Press insert while holding the gun to attack it","","","",""
BipodMg,"","","","MG Bipod","","","",""
BipodMgDesc,"","","","This will help you keep your mg4 steady. Press insert while holding the gun to attack it","","","",""
Sight_AdvancedMG,"","","","MG Advanced Sight","","","",""
Sight_AdvancedMGDesc,"","","","Improve your mg4 sight. Press insert while holding the gun to attack it","","","",""
Sight_MagnifierMG,"","","","MG ACOG","","","",""
Sight_MagnifierMGDesc,"","","","Apply this ACOG to your mg4. Press insert while holding the gun to attack it","","","",""
Barrel_AdvancedMG,"","","","MG Advanced Barrel","","","",""
Barrel_AdvancedMGDesc,"","","","Improve your mg4 accuracy and damage. Press insert while holding the gun to attack it","","","",""
Mag_ExtendedPSG,"","","","Sniper Extended Magazine","","","",""
Mag_ExtendedPSGDesc,"","","","Increase your sniper ammo count. Press insert while holding the gun to attack it","","","",""
Sight_AdvancedPSG,"","","","Sniper Advanced Sight","","","",""
Sight_AdvancedPSGDesc,"","","","Improve your sniper sight. Press insert while holding the gun to attack it","","","",""
LaserAttachmentPSG,"","","","Sniper Laser Dot","","","",""
LaserAttachmentPSGDesc,"","","","Add a laser dot to your sniper rifle. Press insert while holding the gun to attack it","","","",""
BipodPSG,"","","","Sniper Bipod","","","",""
BipodPSGDesc,"","","","This will help you keep your sniper steady. Press insert while holding the gun to attack it","","","",""
ScopePSG,"","","","Sniper Scope","","","",""
ScopePSGDesc,"","","","Apply this Scope to your sniper rifle. Press insert while holding the gun to attack it","","","",""
Ejector_AdvancedPSG,"","","","Advanced Sniper Ejector","","","",""
Ejector_AdvancedPSGDesc,"","","","Improve your sniper fire rate. Press insert while holding the gun to attack it","","","",""
Silencer,"","","","Weapon Silencer","","","",""
SilencerDesc,"","","","This silencer can be attached to some weapons to suppress noise. Press insert while holding the gun to attack it","","","",""
Mag_Extended,"","","","Extended Magazine","","","",""
Mag_ExtendedDesc,"","","","Can be attached to some weapons to increase ammo count. Press insert while holding the gun to attack it","","","",""
Sight_Advanced,"","","","Advanced Sight","","","",""
Sight_AdvancedDesc,"","","","Can be attached to some weapons to improve aiming. Press insert while holding the gun to attack it","","","",""
LaserAttachment,"","","","Laser Sight","","","",""
LaserAttachmentDesc,"","","","Can be attached to some weapons. Press insert while holding the gun to attack it","","","",""
Sight_ACOG,"","","","ACOG","","","",""
Sight_ACOGDesc,"","","","Can be attached to some weapons. Press insert while holding the gun to attack it","","","",""
Barrel_Advanced,"","","","Advanced Barrel","","","",""
Barrel_AdvancedDesc,"","","","Can be attached to some weapons to improve damage. Press insert while holding the gun to attack it","","","",""
Sight_AimPoint,"","","","Aimpoint Sight","","","",""
Sight_AimPointDesc,"","","","Can be attached to MTAR rifles. Press insert while holding the gun to attack it","","","",""
Grip,"","","","Weapon Grip","","","",""
GripDesc,"","","","Can be attached to MTAR rifles to improve stability. Press insert while holding the gun to attack it","","","",""
assaultRifleTriggerHousing,"","","","Trigger Housing used for some assault rifles","","","",""
assaultRifleStock,"","","","Stock used for some assault rifles","","","",""
assaultRifleBarrel,"","","","Barrel used for some assault rifles","","","",""
acw-r_parts,"","","","Parts used for some ACW rifles","","","",""
mtar_parts,"","","","Parts used for some MTAR rifles","","","",""
WeaponWorkbench,"","","","Weapon Workbench","","","",""
WeaponWorkbenchDesc,"","","","Using this workbench you assemble and disassemble most weapons.","","","",""
ShutterDoor,"","","","Horizontal Shutter Door","","","",""
ShutterDoorV,"","","","Shutter Door","","","",""
WeaponWorkbenchFlyer,"","","","Weapon Workbench User Manual","","","",""	
WeaponWorkbenchFlyerDesc,"","","","The Weapon Workbench is used to assemble, disassemble and repair fire arms\nThose operations are not possible unless you use this station.","","","",""
powerCore,"","","","Power Core","","","",""	
powerCoreDesc,"","","","A military grade power core. Can be used to power laser swords and exoskeletons","","","",""
lightsword,"","","","Laser Sword","","","",""	
lightswordDesc,"","","","A military laser cutter. Originally created to quickly cut through obstacles, it soon became commonly used as a weapon in close combat emergency situations. Powered with military grade power cores.","","","",""
exoSuitDesc,"","","","You're wearing a full Exoskeleton. Radiation damage will be fully mitigated when powered. It also grants you a big speed and stamina bonus.","","","",""
exoArmorGroupDesc,"","","","Part of a military exoskeleton suit. If you can find all 5 parts, you'll have a new toy!","","","",""
ElectricalFence,"","","","Electric Fence","","","",""
ElectricalFenceDesc,"","","","Connect this fence to a powersource, to electrify it","","","",""
shockSmall,"","","","Shocked","","","",""
shockSmallDesc,"","","","Electrical energy goes through your bones! AARGH!","","","",""
